recording_id,scientific_name,status,issue_count,issue_no_species,issue_no_english_name,issue_no_audio_file,issue_no_duration,issue_no_date,issue_no_time,issue_no_country,issue_no_latitude,issue_no_longitude,issue_no_coordinates,issue_no_quality,issue_scrape_failed
XC186654,Euphagus cyanocephalus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187320,Icterus bullockii,success,4,False,False,False,True,False,True,True,False,False,False,True,False
XC187408,Mareca americana,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187409,Turdus migratorius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187411,Mareca americana,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187481,Corvus brachyrhynchos,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187605,Vireo solitarius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187606,Vireo solitarius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187607,Passerina caerulea,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187608,Setophaga ruticilla,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187609,Setophaga ruticilla,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187634,Setophaga virens,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187635,Setophaga virens,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187636,Setophaga virens,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187637,Setophaga virens,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187659,Spizella breweri,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187660,Spizella breweri,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187661,Spizella breweri,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187663,Spizella breweri,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187665,Spizella breweri,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187783,Setophaga ruticilla,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC187980,Molothrus ater,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188038,Anthus rubescens,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188112,Spizella breweri,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188115,Spizella breweri,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188119,Spizella breweri,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188122,Spizella breweri,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188123,Spizella breweri,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188125,Spizella breweri,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188127,Spizella breweri,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188128,Spizella breweri,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188130,Spizella breweri,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188177,Buteo platypterus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188274,Selasphorus platycercus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188377,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188430,Molothrus ater,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188432,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188434,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188493,Setophaga ruticilla,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188494,Setophaga ruticilla,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188495,Setophaga ruticilla,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188511,Mniotilta varia,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188539,Vireo solitarius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188542,Vireo solitarius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188601,Hirundo rustica,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188668,Spizella breweri,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188671,Spizella breweri,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188782,Certhia americana,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188783,Certhia americana,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188784,Certhia americana,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188785,Certhia americana,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188788,Chroicocephalus philadelphia,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188813,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188842,Corvus brachyrhynchos,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC188905,Vireo solitarius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189042,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189043,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189044,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189045,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189057,Turdus migratorius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189058,Turdus migratorius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189079,Mniotilta varia,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189262,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189263,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189264,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189265,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189266,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189267,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189268,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189269,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189413,Mniotilta varia,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189414,Mniotilta varia,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189589,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189590,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189592,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189630,Certhia americana,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189808,Turdus migratorius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189951,Riparia riparia,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189956,Molothrus ater,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189972,Buteo platypterus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC189973,Buteo platypterus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC190058,Vireo solitarius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC190059,Vireo solitarius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC190060,Vireo solitarius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC190061,Vireo solitarius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC190250,Coccyzus erythropthalmus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC190292,Riparia riparia,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC190659,Riparia riparia,success,3,False,False,False,True,False,False,True,False,False,False,True,False
